epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.781,1.72225,1.40488,1.06903,0.84051,0.68609,0.76926,0.44632,1.54553,0.91385,1.02352,0.000475077,0.000475077,0.000475077
2,319.873,1.62264,0.93994,1.03749,0.82741,0.71872,0.80323,0.47171,1.53994,0.8704,1.02669,0.000904315,0.000904315,0.000904315
3,473.578,1.59298,0.87074,1.03644,0.86102,0.75704,0.83688,0.48533,1.52585,0.77988,1.02882,0.0012864,0.0012864,0.0012864
4,631.588,1.56464,0.82519,1.03001,0.85366,0.71925,0.80051,0.48174,1.49718,0.8121,1.02067,0.00121679,0.00121679,0.00121679
5,787.92,1.5552,0.80411,1.02719,0.88357,0.75189,0.84345,0.49493,1.49047,0.76075,1.01681,0.00114606,0.00114606,0.00114606
6,942.692,1.53393,0.77093,1.02062,0.88063,0.7796,0.86379,0.52371,1.47025,0.71367,1.01001,0.00107532,0.00107532,0.00107532
7,1098.27,1.51905,0.75116,1.01961,0.87107,0.79542,0.87192,0.52844,1.46425,0.70356,1.00983,0.00100459,0.00100459,0.00100459
8,1252.76,1.51081,0.74078,1.01438,0.88065,0.7865,0.87117,0.52445,1.48343,0.69857,1.0104,0.000933851,0.000933851,0.000933851
9,1407.09,1.50314,0.72849,1.01029,0.89922,0.79786,0.88416,0.55054,1.43069,0.669,0.99602,0.000863116,0.000863116,0.000863116
10,1561.13,1.48071,0.71496,1.00598,0.88218,0.80624,0.87956,0.53673,1.4387,0.7004,1,0.00079238,0.00079238,0.00079238
11,1716.41,1.49008,0.6975,1.01175,0.89207,0.79829,0.87878,0.54146,1.42988,0.67515,0.99622,0.000721645,0.000721645,0.000721645
12,1865.88,1.46949,0.67438,1.00382,0.89878,0.80681,0.88488,0.54961,1.4185,0.6552,0.99436,0.000650909,0.000650909,0.000650909
13,2012.81,1.45839,0.66508,0.99924,0.89341,0.8103,0.88366,0.55411,1.41515,0.64856,0.99144,0.000580174,0.000580174,0.000580174
14,2160.01,1.4538,0.65982,1.00031,0.89595,0.81888,0.89449,0.55671,1.40446,0.63757,0.98657,0.000509438,0.000509438,0.000509438
15,2309.01,1.44397,0.64582,0.99411,0.90961,0.81483,0.89992,0.55808,1.41377,0.63472,0.99096,0.000438703,0.000438703,0.000438703
16,2462.26,1.43682,0.63414,0.99093,0.90814,0.82202,0.90141,0.56606,1.39353,0.6196,0.98072,0.000367967,0.000367967,0.000367967
17,2608.77,1.42225,0.61803,0.987,0.89989,0.83025,0.89965,0.57131,1.39846,0.61438,0.98285,0.000297232,0.000297232,0.000297232
18,2757.15,1.41401,0.61277,0.98658,0.91236,0.8318,0.90642,0.57502,1.38869,0.60557,0.97958,0.000226497,0.000226497,0.000226497
19,2900.95,1.40366,0.60278,0.98149,0.90458,0.83587,0.90572,0.5766,1.38078,0.59905,0.97668,0.000155761,0.000155761,0.000155761
20,3049.17,1.39496,0.59453,0.9783,0.90736,0.83973,0.90926,0.5799,1.37458,0.59491,0.97449,8.50255e-05,8.50255e-05,8.50255e-05
